ID,pid,name_jp,name_kana,name_en,legis,year,yr,party,incumbency,elected,ken,kunr,kuname,kucode,ku_valid,ku_vote,ku_voteshare,sekihairitsu,region,prcode,result,inc,dual,pr_m,pr_rank,pr_partyseats,pr_coranked,pr_ncand,pr_rerank,background,female,byear,age,birthplace,borninku,borninken,totcruns,hc,assy,gov,mayor,sec,bcrat,locbur,news,union,agri,celeb,educ,busi,law,med,relig,police,pubcorp,mili,juku,kobo
388,,川田 永二,かわだ えいじ,Kawada Eiji,49,2021,27,IND,新,0,Kochi,1,Kochi 1,3901,162987,4036,2.48,,,,0,0,0,,,,,,,（元）警察庁職員,0,1935,86,奈半利町,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
308,,倉知 昭一,くらち しょういち,Kurachi Shouichi,49,2021,27,IND,新,0,Ishikawa,3,Ishikawa 3,1703,159027,1588,1,,,,0,0,0,,,,,,,古物商（元）津幡町議,0,1936,85,津幡町,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,10746,二階 俊博,にかい としひろ,Nikai Toshihiro,49,2021,27,LDP,現,12,Wakayama,3,Wakayama 3,3003,148305,102834,69.34,,,,1,1,0,,,,,,,（元）党幹事長、党総務会長、経済産業相,0,1939,82,和歌山県御坊市,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,20397,麻生 太郎,あそう たろう,Asou Tarou,49,2021,27,LDP,現,13,Fukuoka,8,Fukuoka 8,4008,175971,104924,59.63,,,,1,1,0,,,,,,,党副総裁（元）副総理、財務相、首相、党幹事長、外相,0,1940,80,福岡県飯塚市,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
779,,清水 三雄,しみず みつお,Shimizu Mitsuo,49,2021,27,Corona,新,0,PR,,,,,,,,Tokyo,40000,0,0,0,17,1,0,1,4,1,党代表、農業法人社長,0,1941,80,京都市,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,13144,宮岡 進一郎,みやおか しんいちろう,Miyaoka Shinichirou,49,2021,27,IND,新,0,Chiba,8,Chiba 8,1208,226526,9845,4.35,,,,0,0,0,,,,,,,（元）高校教諭,0,1941,80,愛媛県,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
965,12621,大塚 紀久雄,おおつか きくお,Ootsuka Kikuo,49,2021,27,IND,新,0,Tokyo,14,Tokyo 14,1314,251111,2772,1.1,,,,0,0,0,,,,,,,不動産賃貸業,0,1941,80,墨田区,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,19428,野田 毅,のだ たけし,Noda Takeshi,49,2021,27,LDP,現,16,Kumamoto,2,Kumamoto 2,4302,181922,60091,33.03,,,,0,1,0,,,,,,,日中協会長（元）自治相、党税制調査会長、保守党党首,0,1941,80,熊本市; 東京都杉並区,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
478,19065,谷川 弥一,たにがわ やいち,Tanigawa Yaichi,49,2021,27,LDP,現,6,Nagasaki,3,Nagasaki 3,4203,140728,57223,40.66,,,,1,1,0,,,,,,,党離島振興特別委員長（元）文部科学副大臣、農水政務官,0,1941,80,長崎県南松浦郡岐宿町（現：五島市）,1,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
515,18852,衛藤 征士郎,えとう せいしろう,Etou Seishirou,49,2021,27,LDP,現,12,Oita,2,Oita 2,4402,158212,79433,50.21,,,,1,1,0,,,,,,,党憲法改正推進本部長（元）衆院副議長、防衛長官、参院議員,0,1941,80,大分県玖珠町,1,1,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
315,13556,小沢 一郎,おざわ いちろう,Ozawa Ichirou,49,2021,27,CDP,現,17,Iwate,3,Iwate 3,303,228096,109362,47.95,92.106,Tohoku,20000,2,1,1,13,1,4,17,20,3,党県代表（元）自由党共同代表、民主党代表、新進党党首,0,1942,79,奥州市; 東京府東京市下谷区; 岩手県水沢市,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
516,16215,横光 克彦,よこみつ かつひこ,Yokomitsu Katsuhiko,49,2021,27,CDP,現,7,Oita,3,Oita 3,4403,175966,73159,41.58,71.161,Kyushu,110000,0,2,1,20,1,4,22,25,10,党県代表（元）衆院環境委員長、環境副大臣、社民党副党首,0,1943,77,大分県宇佐市,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
480,,田中 隆治,たなか たかはる,Tanaka Takaharu,49,2021,27,IND,新,0,Nagasaki,4,Nagasaki 4,4204,133080,4675,3.51,,,,0,0,0,,,,,,,（元）宿泊業、観光協会理事、神戸大助手,0,1943,78,佐世保市,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,16508,江崎 鉄磨,えさき てつま,Esaki Tetsuma,49,2021,27,LDP,現,7,Aichi,10,Aichi 10,2310,231677,81107,35.01,,,,1,1,0,,,,,,,党総務会長代理（元）沖縄・北方相、国土交通副大臣,0,1943,77,愛知県一宮市,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
865,18312,細田 博之,ほそだ ひろゆき,Hosoda Hiroyuki,49,2021,27,LDP,現,10,Shimane,1,Shimane 1,3201,161803,90638,56.02,,Chugoku,90000,1,1,1,11,2,6,17,22,0,（元）党総務会長、党幹事長、官房長官、沖縄・北方・科技相,0,1944,77,島根県松江市,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
667,12948,奥野 信亮,おくの しんすけ,Okuno Shinsuke,49,2021,27,LDP,現,5,PR,,,,,,,,Kinki,80000,3,2,0,28,1,8,1,40,1,党法務部会長（元）総務副大臣、法務副大臣、自動車製造会社役員,0,1944,77,奈良県御所市,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,,土田 正光,つちだ まさみつ,Tsuchida Masamitsu,49,2021,27,IND,新,0,Gifu,1,Gifu 1,2101,165978,3698,2.23,,,,0,0,0,,,,,,,囲碁棋士、囲碁教室経営、政治団体代表（元）日本棋院理事,0,1944,77,岐阜県岐阜市,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,11853,原田 義昭,はらだ よしあき,Harada Yoshiaki,49,2021,27,LDP,現,8,Fukuoka,5,Fukuoka 5,4005,236021,110706,46.91,,,,0,1,0,,,,,,,弁護士（元）環境相、文部科学副大臣、厚生政務次官,0,1944,77,福岡県嘉麻市,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
283,20006,額賀 福志郎,ぬかが ふくしろう,Nukaga Fukushirou,49,2021,27,LDP,現,12,Ibaraki,2,Ibaraki 2,802,171934,110831,64.46,,,,1,1,0,,,,,,,（元）財務相、防衛長官、党政調会長、県議,0,1944,77,茨城県行方市,1,1,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
944,13516,小林 興起,こばやし こうき,Kobayashi Kouki,49,2021,27,Other,元,5,Tokyo,9,Tokyo 9,1309,267706,15091,5.64,,,,0,0,0,,,,,,,新党やまと代表（元）財務副大臣、衆院安全保障委員長,0,1944,77,東京都練馬区,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
741,,三野 ハル子,みの はるこ,Mino Haruko,49,2021,27,SDP,新,0,PR,,,,,,,,Shikoku,100000,0,0,0,6,1,0,1,11,1,党香川県代表（元）高松市議、国労地方本部書記,1,1945,76,愛媛県,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
332,16038,森山 裕,もりやま ひろし,Moriyama Hiroshi,49,2021,27,LDP,現,6,Kagoshima,4,Kagoshima 4,4604,182826,127131,69.54,,,,1,1,0,,,,,,,（元）党国対委員長、農相、参院議員、鹿児島市会議長,0,1945,76,鹿児島県鹿屋市,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
983,14594,平沢 勝栄,ひらさわ かつえい,Hirasawa Katsuei,49,2021,27,LDP,現,8,Tokyo,17,Tokyo 17,1317,238056,119384,50.15,,,,1,1,0,,,,,,,（元）復興相、党広報本部長、衆院外務委員長、内閣府副大臣,0,1945,76,岐阜県白川村,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
984,18567,菅 直人,かん なおと,Kan Naoto,49,2021,27,CDP,現,13,Tokyo,18,Tokyo 18,1318,259123,122091,47.12,,Tokyo,40000,1,1,1,17,1,4,20,23,0,党最高顧問（元）首相、民主党代表、財務相、国家戦略相、厚相,0,1946,75,山口県宇部市,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,,組坂 善昭,くみさか よしあき,Kumisaka Yoshiaki,49,2021,27,IND,新,0,Fukuoka,6,Fukuoka 6,4006,185874,5612,3.02,,,,0,0,0,,,,,,,食肉卸売会社社長、九州食肉組合連合会専務理事,0,1946,74,久留米市,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,16930,清水鴻一郎,しみず こういちろう,Shimizu Kouichirou,49,2021,27,LDP,元,2,Kyoto,6,Kyoto 6,2606,256602,82004,31.96,,,,0,0,0,,,,,,,医療法人理事長（元）府議、大阪医大助教授,0,1946,75,京都市伏見区,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
979,12794,大西 英男,おおにし ひでお,Oonishi Hideo,49,2021,27,LDP,現,3,Tokyo,16,Tokyo 16,1316,229528,88758,38.67,,,,1,1,0,,,,,,,（元）国土交通副大臣、総務政務官、都議,0,1946,75,東京都江戸川区,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
611,,加藤 寿彦,かとう としひこ,Katou Toshihiko,49,2021,27,CDP,新,0,PR,,,,,,,,Chugoku,90000,0,0,0,11,17,2,1,18,17,党山口県顧問（元）党県代表、県議,0,1947,74,山口県,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,13894,山崎 摩耶,やまざき まや,Yamazaki Maya,49,2021,27,DPFP,現,2,PR,,,,,,,,Hokkaido,10000,0,4,0,8,1,0,1,1,1,"党道代表,（元）岩手県立大教授、日本看護協会常任理事",1,1947,74,東京都生まれ、北海道妹背牛町育ち,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
107,,野田 富久,のだ とみひさ,Noda Tomihisa,49,2021,27,CDP,新,0,Fukui,1,Fukui 1,1801,208016,71845,34.54,52.76,Hokuritsu Shinetsu,60000,0,0,1,11,1,3,14,15,8,党県代表代行、行政書士（元）県議、福井市議,0,1947,74,兵庫県,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
403,18108,穀田 恵二,こくた けいじ,Kokuta Keiji,49,2021,27,JCP,現,9,Kyoto,1,Kyoto 1,2601,213446,65201,30.55,75.605,Kinki,80000,2,2,1,28,1,2,1,6,1,党国会対策委員長（元）京都市議、大学職員,0,1947,74,岩手県水沢市（現: 奥州市）,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
533,19119,赤嶺 政賢,あかみね せいけん,Akamine Seiken,49,2021,27,JCP,現,7,Okinawa,1,Okinawa 1,4701,145878,61596,42.22,,Kyushu,110000,1,1,1,20,1,1,1,4,1,党幹部会委員、党県委員長（元）那覇市議、高校教諭,0,1947,73,沖縄県那覇市,1,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
703,10924,今村 雅弘,いまむら まさひろ,Imamura Masahiro,49,2021,27,LDP,現,8,PR,,,,,,,,Kyushu,110000,3,2,0,20,1,8,1,30,1,（元）復興相、衆院国土交通委員長、農水副大臣,0,1947,74,佐賀県鹿島市,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
744,,内海 太,うつみ ふとし,Utsumi Futoshi,49,2021,27,CDP,新,0,PR,,,,,,,,Tohoku,20000,0,0,0,13,20,4,1,20,20,（元）宮城県議、気仙沼市議,0,1947,71,宮城県,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,11492,円 より子,まどか よりこ,Madoka Yoriko,49,2021,27,DPFP,新,0,Tokyo,17,Tokyo 17,1317,238056,30103,12.65,25.215,Tokyo,40000,0,0,1,17,1,0,2,3,2,"〈元〉参院議員,（元）参院財政金融委員長、民主党副代表",1,1947,74,神奈川県,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
